old_url,type,organic_clicks_16m,backlinks,action,new_url,title,meta_description,h1,built,verified
/,home,0,0,KEEP,/,"E-Waste, Electronics & Industrial Recycling Services","Full-service recycling facility for businesses handling e-waste, electronics, metals, bulbs, batteries, data destruction and logistics. Call (800) 969-5166.",PAVE THE WAY For A CLEANER FUTURE,TRUE,TRUE
/services/,service,0,0,KEEP,/services/,Recycling Services | Call (800) 969-5166,"Recycling services for electronics, batteries, light bulbs, paper, shredding, and more. Call (800) 969-5166 for recycling services today.",Services,TRUE,TRUE
/electronic-recycle/,service,4210,31,KEEP,/electronic-recycle/,Commercial Electronic Recycling | Call (800) 969-5166 Today,"Commercial electronics recycling for businesses, offices & facilities. Recycle computers, servers, monitors & more with reliable e-waste pickup.",Electronic Recycling,TRUE,TRUE
/electronic-recycling/,service,0,0,301,/electronic-recycle/,,,,FALSE,TRUE
/all-locations/,page,0,0,KEEP,/all-locations/,Electronics Recycling in USA | Recycle technologies,"Explore electronics recycling facility in USA. Drop-off your E-waste: old TVs, printers, computer, phones, monitors, small appliances, and more at one platform in your area.",All Locations,TRUE,TRUE
/light-bulbs/,service,1840,12,KEEP,/light-bulbs/,"Commercial Light Bulb Recycling | CFL, LED | (800) 969-5166","Commercial light bulb recycling for businesses, facilities, and organizations. Recycle fluorescent, CFL, LED & other lamps. Call (800) 969-5166.",LIGHT BULB RECYCLING,TRUE,TRUE
/battery-recycling/,service,0,0,KEEP,/battery-recycling/,"Commercial Battery Recycling | Lithium, Alkaline | Call Now","Commercial battery recycling for businesses, offices & facilities. Recycle non-hazardous batteries from electronics and devices with reliable service.",BATTERY RECYCLING,TRUE,TRUE
/ballasts/,service,0,0,KEEP,/ballasts/,Ballast Recycling Services | PCB & Non-PCB | Recycle Technologies,"Recycle Technologies recycles PCB, non-PCB, electronic, and magnetic ballasts for businesses, with EPA-approved processing and a Certificate of Recycling.",Ballasts Recycling,TRUE,TRUE
/tv-recycling/,service,0,0,KEEP,/tv-recycling/,"Commercial TV Recycling | LCD, LED | Call (800) 969-5166","Commercial TV recycling for businesses, offices, and facilities. Recycle LCD, LED, plasma & flat-screen TVs. Call (800) 969-5166.",TV RECYCLING,TRUE,TRUE
/airbag-recycling/,service,0,0,KEEP,/airbag-recycling/,Commercial Airbag Recycling | Deployed & Undeployed,"Commercial airbag recycling for auto shops, dealerships & facilities. Recycle deployed and undeployed vehicle airbags with a reliable recycling service.",Airbag Recycling,TRUE,TRUE
